,Street Name,Registration Date ,Paid By ,Secured Date,Notes
102,ATLANTIC STREET,12/14/11,12/14/11,$500. PAID/$500.00 paid by bank 3/23/17,
55,ATLANTIC STREET,5/12/15,5/12/15,$500.00 paid by bank 7/11/17,
65.5,ATLANTIC STREET,3/1/16,3/1/16,$250.00 paid by bank 4/11/17,
272,BALDWIN,7/19/17,7/19/17,$250 PAID 7/19/17,
27,BALDWIN AVENUE,1/31/12,3/21/12,$250 PAID BY OWNER,
267,BALDWIN AVENUE,11/18/11,1/6/12,$250 PAID BY NEW OWNER 3/18/17,
414,BALDWIN AVENUE,12/17/14,12/17/14,$250.00 paid by bank 7-26-2016,
78,BALDWIN AVENUE,4/18/2018,4/18/2018,VBR ISSUED TO OWNER 4/18/18,
175,BARTHOLDI AVENUE,6/16/17,6/16/17,$250 PD BY NEW OWNER 7/6/17,
17-23,BATES STREET,12/29/11,2/29/12,$250.00 PD BY OWNER 8-1-14,
130,BAY STREET,3/6/2018,3/6/2018,$250.00 VBR PAID BY OWNER 3/6/2018,
2,BAYSIDE PARK DRIVE,,,$250 PAID 3/6/18,
10,BAYSIDE PLACE,4/17/13,6/1/13,,
14,BAYSIDE PLACE,2/19/13,2/19/13,$500.00 paid by BANK 1/31/17,
123,BAYVIEW,1/16/18,1/16/18,$250 PAID BY BANK 1/17/18,
8,BAYVIEW AVENUE,10/17/12,10/17/12,11-2014 $250 PD BY BK $500.00 paid by bank 10-26-2015,
12,BAYVIEW AVENUE,2/28/12,2/28/12,$500.00 PAID BY BANK/$500.00 by bank 6/6/17,
223,BAYVIEW AVENUE,4/1/12,4/1/12,$500.00 RENEWAL PAID 5-3-2017,PAID 3/7/18
25,BAYVIEW AVENUE,8/15/16,10/13/15,$250.00 paid by bank/$500.00 paid by bank,
134,BAYVIEW AVENUE,,10/19/15,$250 paid 9-9-16 by new onwer,
64,BEACH STREET,4/10/12,5/17/15,$250.00 pd by owner,
101,BEACH STREET,5/15/14,5/15/14,$500.00 pd by bank 4-27-2015/$500.00 paid by bank 4-14-2016,
40,BEACON AVENUE,,,VBR SENT TO OWNER 2/16/2018,
121,BEACON AVENUE,12/3/11,2/8/12,$250.00 PAID 1-4-12,
135,BEACON AVENUE,5/6/17,5/6/17,$250 PAID 5/6/17,
25,BELMONT AVENUE,7/19/13,9/1/13,$250.00 by owner 4-17-2015,
27,BELMONT AVENUE,1/31/13,1/31/12,$500.00 pd by bank /$500.00 by bank,
29,BELMONT AVENUE,7/19/13,9/1/13,$250 PAID BY BANK $250 PAID BE NEW VPS,
94,BELMONT AVENUE,,,VBR SENT TO OWNER 6-8-2017,
65,BELMONT AVENUE,4/12/13,5/15/13,$250.00 PAID BY OWNER $500.00 paid by owner 9-1-2015,
217,BELVIDERE AVENUE,4/18/17,4/18/17,$250.00 PAID BY BANK 4-18-2017,
224,BELVIDERE AVENUE,9/4/13,10/16/13,$250.00 PAID BY OWNER 3-14-14/$500.00 paid by owner 3/8/2016,
21,BELVIDERE AVENUE,11/20/16,12/20/16,$250.00 PAID BY BANK,
117,BENTLEY AVENUE,9/4/13,10/16/13,$250 pd 4-22-14,
41,BENTLEY AVENUE,1/10/17,2/22/17,$500 paid 1/18/18,
161,BERGEN AVENUE,11/18/11,1/6/12,$250.00 paid by owner 12-22-2015,
200,BERGEN AVENUE,,,VBR SENT TO NEW OWNER 2/13/2018,
249,BERGEN AVENUE,12/11/11,2/16/12,VBR SENT OUT 8/24/2016,
299,BERGEN AVENUE,11/18/11,1/6/12,1 PAID 4-2-12/ $500 PD BY OWNER,
829,BERGEN AVENUE,12/3/11,2/8/12,$250.00 PAID 12-2-11 $500.00 paid by owner,
677,BERGEN AVENUE,11/2/11,3/5/12,$250.00 PAID 10-16-12 $500 4-16-14,
347,BERGEN AVENUE,5/27/15,,court,
459,BERGEN AVENUE,11/6/15,11/6/15,$250.00 paid by bank 6-23-2016,
55,BIDWELL AVENUE,5/14/12,6/5/12,$500.00 pd by bank 4-24-2015/$500.00 paid by bank 4/25/17,
60,BIDWELL AVENUE,,,VBR SENT TO NEW OWNER 4/11/2018,
68,BIDWELL AVENUE,2/28/12,2/28/12,$250.00 PAID BY BANK /$250 PAID BY CREDITOR 3/7/17,
101,BIDWELL AVENUE,7/14/17,7/14/17,VBR $250.00 PAID BY SAFEGUARD 7/14/2017,
100,BIDWELL AVENUE,4/22/14,4/22/14,$500.00 paid by bank 6-2015/$500.00 paid by bank 6-1-2016,
138,BIDWELL AVENUE,2/1/18,2/1/18,VBR $250.00 PAID BY FIVE BROTHERS MORTGAGE 2/1/2018,
137,BIDWELL AVENUE,2/24/12,3/16/15,"$1,500 AID 3/3/18",
152,BIDWELL AVENUE,8/8/12,9/13/12,"$250.00 PD , $500.PD12-16-13 $500 PD 12-14",
161,BIDWELL AVENUE,,,VBR SENT TO OWNER 2/27/2018,
157,BIDWELL AVENUE,3/14/14,6/30/15,$250.00 paid by owner/$500.00 paid by bank 7/5/17,
185,BIDWELL AVENUE,12/3/11,2/8/12,$250 paid by owner 12/1/16,
212,BIDWELL AVENUE,9/10/14,9/10/14,$250 pd by bank 9-10-14 $250 PAID 3/23/17,
150,BIDWELL AVENUE,1/12/16,1/12/16,VBR SENT TO NEW OWNER 10-18-2016,
219,BIDWELL AVENUE,,,VBR SENT TO NEW OWNER 11-28-2016 VR,
231,BIDWELL AVENUE,3/9/16,3/9/16,$250.00 paid by bank,
117,BIDWELL AVENUE,11/18/16,,$250 PAID BY BANK 2/2/17,
231,BIDWELL AVENUE,1/21/17,1/21/17,$500 PAID 1/21/17,
41,BISHOP STREET,10/17/16,,,
93,BLEECKER STREET,12/11/11,2/16/12,$250.00 PAID 4-4-12 $500.00 PAID 9-4-13,
13,BOLAND STREET,4/2/12,4/2/12,$250.00 PAID BY BANK,
107,BOSTWICK AVENUE,,,VBR $250.00 PAID BY OWNER 4/16/2018,
10,BOSTWICK AVENUE,7/31/12,9/5/12,9-22-13 $500- 10-27-14 $500 $500.00 paid by owner 1/18/2016,
114,BOSTWICK AVENUE,11/15/13,11/15/13,$250.00 BY OWNER 9/16/16,
148,BOSTWICK AVENUE,11/5/15,11/5/15,$500.00 paid by bank 11/16/16,
147,BOSTWICK AVENUE,10/27/15,10/27/15,$250.00 paid by bank,
80,BOWERS STREET,2/15/12,3/29/12,$500.00 by bank 4-2015/$500.00 paid by bank 4-15-2016,
216,BOWERS STREET,2/19/14,2/19/14,$500.00 pd by bank 2-2015/$500.00 paid by bank 1-12-2016 VBR ISSUED TO NEW OWNER 2/1/17,
257,BOWERS STREET,8/21/13,9/20/13,"$250 pd 9-2013, $500 pd 10-2014, BY OWNER",
61.5,BOWERS STREET,9/29/17,9/29/17,VBR ISSUED TO NEW OWNER 4/18/18,
58,BOWERS STREET,6/1/16,6/24/16,$250.00 paid by owner,
106,BOWERS STREET,1/21/17,1/21/17,NEW APRA VBR ISSUED TO OWNER 1/21/17 FEE WAIVED,
39,BOYD AVE.,5/16/17,5/16/17,,
279,BOYD AVENUE,8/15/14,8/15/14,$250 PD BY BANK $500.00 paid by bank/$250.00 paid on 8/23/16,
107,BOYD AVENUE,5/22/14,5/22/14,$500.00 PD BY OWNER 4-13-2017,
142,BOYD AVENUE,12/19/11,3/1/12,$500.00 pd by bank 4-14-2015/$500.00 paid by bank 4-22-2016,
143,BOYD AVENUE,4/24/12,4/24/12,250.00 paiD by owner 12/3/16,
175,BOYD AVENUE,,,VBR SENT TO OWNER 2/2/2018,
107,BOYD AVENUE,12/17/14,12/17/14,$500 PAID BY NEW OWNER 1/23/18,
182,BOYD AVENUE,8/10/15,8/10/15,$250.00 paid by NEW OWNER 3/13/18,
152,BOYD AVENUE,12/16/15,10/26/16,$250.00 paid by owner 10/26/16,
17,BOYD AVENUE,1/4/16,1/4/16,$250.00 paid by bank,
364,BRAMHALL AVENUE,2/14/12,3/29/12,$250.00 paid by owner,
379.5,BRAMHALL AVENUE,12/10/12,12/10/12,$250.00 paid by owner 10-21-2015,
479,BRAMHALL AVENUE,12/29/11,3/1/12,$250.00 PAID 5-8-12,
585,BRAMHALL AVENUE,12/28/11,2/28/12,$500.00 pd by bank 4-2015/$500.00 paid by bank 5-16/17,
608,BRAMHALL AVENUE,6/21/13,6/21/13,$250.00 PAID BY BANK,
622,BRAMHALL AVENUE,12/11/11,2/16/12,court,
628,BRAMHALL AVENUE,1/15/16,1/15/15,$500.00 paid by bank 1/18/17,
95,BRIGHT STREET,12/2/11,2/16/12,"BLDG IS A STORAGE FACILITY, EXEMPT",
63,BRINKERHOF STREET,7/20/16,,,
65,BRINKERHOF STREET,7/20/16,,,
63,BRINKERHOFF STREET,7/21/16,,,
65,BRINKERHOFF STREET,7/20/16,,,
1,BROOK STREET,12/29/11,2/29/12,$250.00 PAID BY OWNER 8-1-14,
13,BROOK STREET,12/29/11,2/29/12,$250.00 PAID BY OWNER 8-1-14 $500.00 by owner 10-20-2015,
41277,BROOK STREET,2/28/13,5/18/13,$500.00 PAID BANK,
"7,9",BROOK STREET,12/10/12,1/25/12,,
101,BROWN PLACE,5/6/13,5/6/13,$250.00 PAID BY BANK $500 4-23-14 /$500.00 paid by bank 4-25-2016,
109,C.COLUMBUS DRIVE,8/28/12,8/28/12,$250.00 PAID BY BANK,
53,CAMBRIDGE AVENUE,1/17/13,2/17/13,,
70,CAMBRIDGE AVENUE,12/13/12,2/7/13,,
198,CAMBRIDGE AVENUE,10/2/14,11/15/14,,
216,CAMBRIDGE AVENUE,4/30/15,4/30/15,$250.00 paid by bank 4-30-2015,
121,CARTERET AVENUE,12/11/11,2/16/12,VBR PAID BY NEW OWNERS $250 ON 9-16-16,
160,CARTERET AVENUE,6/19/12,6/19/12,$250.00 PAID BY BANK/$500.00 paid by bank 3-4-2016,
161,CARTERET AVENUE,10/5/12,10/5/12,$250.00 PAID BY BANK,
185,CARTERET AVENUE,2/21/12,3/30/12,,
191,CARTERET AVENUE,11/29/16,11/29/16,$250.00 PAID ON 11/29/16,
113,CATOR AVENUE,11/4/11,12/15/11,$250.00 by owner 7-19-2016 VBR ISSUED TO NEW OWNER 2/8/17,
211,CATOR AVENUE,11/3/11,11/3/11,VBR ISSUED TO NEW OWNER 4/18/17,
223,CATOR AVENUE,12/28/11,2/28/12,$500 PD 6-2013 /$500.00 paid by bank 6/6/17,
129-131,CATOR AVENUE,6/16/17,6/16/17,$250.00 PAID ON 6/21/2017,
229,CATOR AVENUE,11/29/11,2/6/12,$500 PD 10-2014 $250 PAID BY NEW CREDITOR 3/7/17,
134-42,CATOR AVENUE,2/14/12,3/5/12,$250.00 PAID,
164,CATOR AVENUE,9/30/15,1/6/16,$250.00 paid by bank,
341,CATOR AVENUE,6/26/17,6/26/17,$250.00 E265VBR PAID BY BANK 6/26/2017,
12,CATOR AVENUE,2/2/16,2/2/16,$250.00 paid 5/10/17,
358,CENTRAL AVENUE,11/4/11,12/15/11,$250.00 PAID $500 pd 5-13-14,
360,CENTRAL AVENUE,11/4/11,12/15/11,$250.00 PAID $500 pd 5-13-14,
307,CHAPEL AVENUE,7/19/12,9/5/12,$250.00 paid by owner 5-4-2016,
13,CHARLES STREET,,,VBR SENT TO OWNER 3/16/2018,
97,CHARLES STREET,,,VBR SENT TO OWNER 2/22/2018,
40,CHARLES STREET,2/28/12,4/8/15,$250.00 paid by bank 6-30-2016,
120,CHARLES STREET,8/17/16,8/29/16,$250.00 paid by owner 8-29-2016,
120,CHESTNUT STREET,12/12/12,1/30/13,$250.00 paid by new owner 5-15-2017,
182,CLAREMONT AVENUE,11/30/11,11/30/11,$250.00 PAID 11-30-11,
281,CLAREMONT AVENUE,2/20/17,2/20/17,VBR $250.00 PAID BY MORTGAGE CONTRACTING SERVICES 2/20/2017,
182,CLAREMONT AVENUE,1/29/13,2/28/13,$500.00 PAID 10-2014,
174,CLAREMONT AVENUE,11/9/16,,,
184,CLAREMONT AVENUE,12/14/16,,,
345,CLAREMONT AVENUE,5/3/17,5/3/17,$500.00 RENEWAL PAID BY BANK 5-3-2017,
287,CLAREMONT AVENUE,5/16/17,5/16/17,$250 PAID 5/16/17,
33,CLAREMONT STREET,3/20/17,3/20/17,NEW APRA VBR ISSUED TO OWNER 3/20/17,
103,CLARKE AVENUE,3/1/17,3/1/17,$250.00 VBR PAID BY BANK 3/1/2017,
74,CLARKE AVENUE,8/10/16,8/10/16,$500.00 paid by bank 11/29/16,
40,CLARKE AVENUE,9/16/16,11/7/16,$250.00 PAID BY SAFEGUARD PROPERTIES,
62,CLARKE AVENUE,2/28/12,2/28/12,$500.00 pd by bank 4-22-2015/$500.00 paid by bank 4-18-2016,
43,CLENDENNY AVENUE,12/14/11,12/14/11,$500 PAID 4-9-14 /$500.00 paid by bank 3/23/17,
208,CLENDENNY AVENUE,3/25/14,4/25/14,$250.00 PAID BY NEW OWNER 11-28-2016,
111,CLENDENNY AVENUE,4/7/14,4/7/14,$500.00 by bank 4-2015/$500.00 paid by bank 5-16-17,
291,CLENDENNY AVENUE,2/13/18,2/13/18,"VBR $250.00 PAID BY CYPREXX SERVICES, INC. 2/13/18",
280,CLENDENNY AVENUE,,,VBR SENT TO OWNER 3/22/2018,
298,CLENDENNY AVENUE,7/18/16,7/12/16,$250.00 paid by bank 7-26-2016 VBR SENT TO CALIBER HOMES 7-14-2017,
94,CLERK STREET,11/30/16,,,
99,CLERK STREET,11/1/11,12/8/11,$250.00 paid by owner 12-23-2015,
175,CLERK STREET,5/29/14,6/30/14,$250 PD BY OWNER 7-1-14 /$500.00 paid by owner 1-8-2016,
181,CLERK STREET,12/28/11,2/29/12,$250 PAID 5/16/17,
185,CLERK STREET,7/31/13,9/1/13,$500.00 paid by bank 12-7-2016,
67,CLERK STREET,12/29/11,3/1/12,$250.00 paid by bank 1-2015,
163,CLERK STREET,12/7/11,2/9/12,,
165,CLERK STREET,12/29/11,3/1/12,$250.00 PAID 6-22-12,
267,CLERK STREET,6/10/15,6/10/15,$250.00 paid by bank/$500.00 paid by bank 6/27/17,
151,CLERK STREET,7/28/17,7/28/17,$250.00 VBR PAID BY OWNER 7/28/17,
249,CLERK STREET,9/16/16,,,
240,CLERK STREET,4/11/17,4/11/17,$500 PAID 4/10/18,
39,CLIFTON PLACE,6/8/16,,ISSUED VBR TO NEW OWNER 4/12/18,
108,CLINTON AVENUE,11/15/14,11/15/14,$250 PD BY BANK,
144,CLINTON AVENUE,8/19/16,9/29/16,$250.00 PAID BY SINGLE SOURCE PROPERTIES,
169,CLINTON AVENUE,4/10/13,4/10/13,$250.00 PAID BY BANK/$500.00 paid by bank 3/31/2016,
207,CLINTON AVENUE,9/24/14,10/30/14,VBR SENT TO BANK 12-7-2016 VR,
227,CLINTON AVENUE,11/4/11,12/15/11,8/14/2015 VBR PAID BY OWNER $500.00,
14-22,CLINTON AVENUE,1/21/16,4/5/17,$250 PAID BY BANK 4/5/17,
9,CLINTON AVENUE,3/9/16,6/21/16,VBR ISSUED TO NEW OWNER 4/11/18,
253,CLINTON AVENUE,3/29/18,3/29/18,VBR $250.00 PAID BY BANK 3/29/2018,
241,CLINTON AVENUE,1/10/13,2/11/13,VBR $250 PAID 2/8/18,
30-34,CLINTON AVENUE,7/19/13,7/19/13,$250.00 PAID 4-7-14,
114,COLDEN STREET,2/23/12,2/23/12,$250.00 PD BY OWNER 8-1-14,
114,COLES STREET,12/29/11,2/29/12,,
115,COLES STREET,8/19/13,8/19/13,$250.00 PAID BY BANK,
152,COLES STREET,8/29/16,9/17/16,$250.00 PD BY ESTATE OF ROBERT CONROY 9/17/2016,
98,COLGATE STREET,5/17/17,,VBR SENT TO OWNER 5-17-2017,
302,COLUMBIA AVE,10/3/16,,$250 PAID BY BANK 5/3/17,
19,COLUMBIA AVENUE,11/17/11,1/7/12,$250.00 PAID BY BANK/ $500 pd 10-2014,
319,COLUMBIA AVENUE,2/28/12,2/28/12,$500.00 by bank 4-2015/$500.00 by bank 4/18/17,
287,COLUMBIA AVENUE,4/2/15,5/1/17,$250.00 VBR PAID BY OWNER 5-1-2017,
214,COMMUNIPAW AVENUE,12/12/13,12/12/12,$250.00 PAID BY BANK,
691,COMMUNIPAW AVENUE,12/12/13,12/12/12,$250.00 PAID BY BANK,
793,COMMUNIPAW AVENUE,9/29/15,,COURT SUMMONS POSTED VIOLATIONS 1-28-2016,
337,COMMUNIPAW AVENUE,11/9/11,12/23/11,$500.00 PAID BY OWNER 12/23/2016 VR,
783,COMMUNIPAW AVENUE,7/5/13,7/5/13,$250.00 PAID BY BANK,
250-254,COMMUNIPAW AVENUE,3/5/12,5/2/12,,
568-72,COMMUNIPAW AVENUE,11/8/11,12/22/11,$500.00 2-19-14 /$500.00 paid by owner 7-22-2016,
756-758,COMMUNIPAW AVENUE,7/7/16,,,
680,COMMUNIPAW AVENUE,3/15/17,4/19/17,VBR ISSUED TO OWNER,OWNER 8/15/2017
81,CONGRESS STREET,,,VBR SENT TO OWNER 9/26/2017,
63,CONGRESS STREET,5/14/13,5/14/13,$250.00 BY BANK 1-24-14 $500.00/$250.00 PAID BY BANK,
72,CONGRESS STREET,9/18/14,11/1/14,$500.00 paid by bank 1/7/17,
129,CONGRESS STREET,8/8/15,8/8/15,$250.00 paid by bank,
23,COTTAGE STREET,1/30/12,1/30/12,$250.00 PAID 1-30-12 GUARDIAN APPOINTED,
112,COTTAGE STREET,3/8/12,3/8/12,$250.00 PAID BY BANK /$500.00 paid by owner 3-2-2016,
80,COUNTRY VILLAGE ROAD,5/9/17,5/9/17,$250.00 PAID BY SAFEGUARD PROPERTIES 5-17-2017,
78,COUNTRY VILLAGE ROAD,3/7/2018,3/7/2018,$250 PAID 3/7/18,
31,COURT HOUSE PL,5/5/14,6/15/14,$250.00 paid by owner 5-21-2015,
59,COURT HOUSE PL,1/19/16,9/8/16,VBR ISSUED TO NEW OWNER 1/2/18,
10,CROSSGATES STREET,11/24/14,11/24/14,$500 pd 10-13 $500 pd 10-14 $250 pd 11-14,
52,CULVER AVENUE,5/26/17,,VBR SENT TO NEW OWNER 5/26/2017,
244,CUSTER AVENUE,1/18/17,,VBR ISSUED TO NEW OWNER 1-18-2017,
44,DALES AVENUE,5/19/16,,,
246,DANFORTH AVENUE,5/19/15,4/18/16,$500.00 paid by bank 4/27/17,
296,DANFORTH AVENUE,1/24/17,1/24/17,$250 paid 5/16/17,
287,DANFORTH AVENUE,1/24/17,,,
44,DELMAR ROAD,5/4/16,5/4/16,$250.00 paid by bank,
53,DUNCAN AVENUE,4/20/16,4/20/16,$250.00 paid by owner,
17,DUNCAN AVENUE,1/16/2018`,1/16/2018,$250.00 VBR PAID BY OWNER 1/16/18,
221,DUNCAN AVENUE,2/8/17,2/8/17,VBR ISSUED TO NEW OWNER 2/8/17 FEE WAIVED,
256,DUNCAN AVENUE,2/28/12,2/28/12,$500 PD 6-18-14 BANK /$ 250 PAID BY NEW CREDITOR 4/19/17,
259,DUNCAN AVENUE,5/5/14,5/5/14,$250. pd 5-5-15 BY BANK,
36,DWIGHT STREET,1/18/17,,,
56,DWIGHT STREET,,10/27/16,$250.00 PAID BY OWNER 10/27/2016 VR,
52,DWIGHT STREET,6/27/16,,,
53,DWIGHT STREET,7/7/16,12/25/17,VBR ISSUED TO NEW OWNER 12/25/17,
57,DWIGHT STREET,7/8/16,,,
254,DWIGHT STREET,2/23/17,1/25/17,$254 paid 1/25/17,
31,DWIGHT STREET,12/14/11,12/14/11,VBR $250.00 PAID BY OWNER 11/9/2016 VR,
51,DWIGHT STREET,9/27/13,9/27/13,$500 pd bank/$500.00 paid by bank 1/31/17,
88,DWIGHT STREET,5/6/13,5/6/13,$500 PD BY BANK 6/4/14 $500.00 paid by bank 4/18/17,
226,DWIGHT STREET,2/27/18,2/27/18,$250.00 VBR PAID BY OWNER 2/27/2018,
35,DWIGHT STREET,12/29/11,3/1/12,$500 4-16-14 $500.00 pd by bank 4-2015,
47,EASTERN PARKWAY,12/4/12,1/10/13,$250 PD BY BANK 2-14-13 $250 PD BY BANK 6/4/14,
295,EGE AVENUE,6/22/17,6/22/17,$250.00 VBR PAID BY CALIBER LOANS 6/22/2017,
282,EGE AVENUE,1/22/16,1/22/16,$250.00 Paid by bank $500 PAID BY BANK 1/31/17,
269,EGE AVENUE,10/11/16,,$250.00 PAID BY OWNER 10/19/2016 VR,
85,EGE AVENUE,10/25/12,10/25/12,,
100,EGE AVENUE,11/17/15,11/17/15,$250.00 paid by bank,
212,EIGHTH STREET,5/17/17,,VBR paid $250 PAID 6/24/17,
223,FAIRMOUNT AVENUE,11/18/11,1/10/12,$250.00 PAID,
452,FAIRMOUNT AVENUE,3/17/14,3/17/14,VBR SENT TO NEW OWNER 12/9/2016 VR,
13,FAIRMOUNT AVENUE,11/18/11,1/7/12,$500 PD 6-11-2014,
40,FAIRMOUNT AVENUE,2/7/13,3/14/12,,
35,FAIRMOUNT AVENUE,2/12/15,2/12/15,VBR ISSUED TO NEW OWNER,
5,FAIRVIEW AVENUE,6/23/17,6/23/17,VBR $250.00 PAID BY BANK 6/23/2017,
200-204,FEEMAN,4/15/17,4/15/17,$500 PAID 3/22/18,
204.5,FIFTH STREET,7/10/14,8/15/14,$250.00 PAID BY OWNER 10/14/2016,
261,FIFTH STREET,11/4/11,12/15/11,$250.00 paid by owner 4-1-2016,
355,FIFTH STREET,11/11/11,3/19/15,$250.00 paid by owner,
352,FIRST STREET,2/27/17,,,
35,FISK STREET,11/18/11,1/7/12,$250.00 PAID BY BANK $500.00 paid by bank 12/14/16,
329,FORREST AVENUE,12/28/11,2/5/12,$250.00 paid by bank 1-7-2016,
273,FORREST STREET,8/26/13,9/26/13,$250.00 PAID BY BANK 1-26-14,
275,FORREST STREET,8/26/13,9/26/13,$250.00 PAID BY BANK 1-26-14,
295,FORREST STREET,1/3/12,3/5/12,$250 pd by owner 5-13-14 $500.00 pd by owner 7/30/2015,
323,FORREST STREET,11/18/11,1/7/12,$250 4-16-14 $500.00 pd by owner 7-6-2015,
324,FORREST STREET,2/7/14,2/7/14,$250.00 paid by owner 10-6-2015,
325,FORREST STREET,4/22/14,5/25/14,$250.00 PAID BY NEW OWNER 11-16-16 VR,
326,FORREST STREET,5/18/12,7/15/12,$250.00 paid by owner 10-6-2015,
286-288,FORREST STREET,2/27/13,10/27/14,$500 PD 11-3-14 BY OWNER,
270,FORREST STREET,7/21/17,7/21/17,VBR $250.00 PAID BY NEW OWNER 7/21/2017,
269,FORREST STREET,7/24/15,7/24/15,$250.00 paid by bank/$500.00 paid by bank 7-13-2016,
334,FORREST STREET,,1/8/16,$500.00 paid by BANK 1/31/17,
290,FORREST STREET,3/23/16,,,
302.5,FOURTH STREET,3/13/18,3/13/2018,$250.00 VBR PAID BY OWNER,
241,FOURTH STREET,6/28/12,3/24/15,$250.00 PAID 7-27-12 $500.00 paid by bank,
204,FREEMAN AVENUE,1/13/12,3/9/12,$250.00 paid by bank 4/18/17,
225,FREEMAN AVENUE,11/21/11,6/19/15,$500 RENEWAL PAID 3/7/17,
197,FREEMAN AVENUE,5/26/15,5/14/15,$250.00 paid by bank 5-14-2015,
17,FRONT STREET,11/1/11,12/8/11,$250.00 PAID + fine $500.00 Paid by owner 9-21-2015,
20,FULTON AVENUE,1/13/12,3/9/12,$250.00 PAID BY NEW OWNER 11-16-2016 VR,
35,FULTON AVENUE,4/26/12,6/1/12,$250.00 PAID 11-4-13,
109,FULTON AVENUE,12/7/11,2/9/12,VBR ISSUED TO NEW OWNER 12/27/17,
172,FULTON AVENUE,11/4/13,11/14/13,$500 paid 11/2/16,
180,FULTON AVENUE,10/16/13,11/11/13,$250 pd 10-2014 BY BANK,
239,FULTON AVENUE,2/6/13,3/14/13,VBR ISSUED TO NEW OWNER 1/2/18,
241,FULTON AVENUE,2/6/13,3/14/13,$250.00 paid by owner 8-5-2016,
270,FULTON AVENUE,6/13/13,7/13/13,$250.00 PAID BY OWNER,
148-150,FULTON AVENUE,12/29/11,3/1/12,$250.00 paid by bank 11-23-2015,
239,FULTON AVENUE,,,VBR SENT TO OUR OFFICE 1/24/2018 PER EC NO FEE NOW THEY HAVE 60 DAYS TO OCCUPY,
162,FULTON AVENUE,12/22/14,1/22/15,$250 VBR PAID 5/17/17,
244,FULTON AVENUE,4/9/15,3/27/15,$250.00 paid by bank,
219,FULTON AVENUE,5/27/15,9/17/15,$250.00 paid by owner 10-2-2015,
86,FULTON AVENUE,3/16/16,3/16/16,$250.00 paid by owner,
145,FULTON AVENUE,11/28/16,,,
